Open time,Open,High,Low,Close,Volume
2020-08-11 06:00:00,2.85,3.47,2.85,3.1655,123456
2020-08-11 06:15:00,3.1655,3.3564,3.1358,3.136,145678
2020-08-11 06:30:00,3.136,3.136,2.9054,2.9665,167890
2020-08-11 06:45:00,3.0033,3.0113,2.9515,2.9515,189012
2020-08-11 07:00:00,2.9515,3.1355,2.9515,3.031,201234
2020-08-11 07:15:00,3.031,3.15,3.01,3.12,223456
2020-08-11 07:30:00,3.12,3.25,3.08,3.09,245678
2020-08-11 07:45:00,3.09,3.22,3.05,3.18,267890
2024-01-15 06:00:00,95.50,98.75,94.20,97.30,345678
2024-01-15 06:15:00,97.30,99.50,96.80,98.20,367890
2024-01-15 06:30:00,98.20,100.10,97.50,99.80,389012
2024-01-15 06:45:00,99.80,101.20,99.00,100.50,401234
2024-01-15 07:00:00,100.50,102.30,99.80,101.20,423456
2024-01-15 13:00:00,102.50,103.20,101.80,102.00,445678
2024-01-15 13:15:00,102.00,102.50,100.80,101.20,467890
2024-01-15 13:30:00,101.20,101.50,99.50,100.00,489012
2024-01-15 13:45:00,100.00,100.80,98.90,99.20,501234
2025-03-20 09:00:00,150.25,152.80,149.50,151.60,567890
2025-03-20 09:15:00,151.60,153.90,150.80,152.40,589012
2025-03-20 09:30:00,152.40,155.20,151.90,154.10,601234
2025-03-20 09:45:00,154.10,156.50,153.20,155.30,623456
2025-03-20 14:00:00,155.30,157.80,154.50,156.20,645678
2025-03-20 14:15:00,156.20,158.50,155.40,157.10,667890
2025-03-20 14:30:00,157.10,159.20,156.30,158.40,689012
2025-03-20 14:45:00,158.40,160.10,157.50,159.20,701234
